geo,time_period,population_density,hospital_beds,at_risk_of_poverty,low_work_intensity,gdp_current_prices,rd_expenditure,internet_access,tertiary_education
AL,2017,767.0352406040787,173.3429341286002,23.7,11.180487445887445,39545.42213064714,3.4995249639249617,87.48928892857145,36.817153968253955
AL,2018,764.5719072707454,173.4016541286002,23.4,10.908866017316019,40118.08293650794,3.208140916305914,88.89519456349211,38.20984047619047
AL,2019,764.5719072707454,172.88285365240975,23.0,10.911870779220779,40014.91626984128,2.850645916305916,90.987803452381,39.03615714285715
AL,2020,764.5719072707454,173.09725603336213,21.8,10.73849816017316,40582.835317460325,2.8738125829725827,91.23445511904767,39.0873373015873
AL,2021,764.5719072707454,172.02130603336212,22.0,10.75094816017316,40203.70198412699,2.846960916305917,93.00873269841271,38.84369682539682
AL01,2017,793.8944072707453,173.12635496193354,25.6,12.056643398268399,40139.4257936508,4.500973773448772,87.6980566666667,37.48634166666666
AL01,2018,791.431073937412,173.4016541286002,25.1,11.487387445887448,40139.725793650796,4.303344249639249,89.31874206349212,38.59965714285715
AL01,2019,791.431073937412,173.52789948574306,25.9,12.074594588744587,40232.759126984136,4.494585440115439,91.63643595238099,39.54487619047618
AL01,2020,791.431073937412,173.95888103336213,25.1,11.522161255411255,40006.39246031746,4.311510916305916,91.7883247619048,39.56144285714285
AL01,2021,791.431073937412,172.66635186669544,25.5,11.911085064935067,40567.85912698413,4.262010440115439,93.66889948412704,39.31660952380952
AL02,2017,767.0352406040787,172.83678055717164,20.8,10.684548809523813,40327.43284493285,2.9075559163059164,87.46441757936513,36.51787539682539
AL02,2018,764.5719072707454,173.4016541286002,23.6,11.078413636363637,39833.78293650794,3.5167709163059144,88.97932551587306,38.50738809523809
AL02,2019,764.5719072707454,172.88285365240975,22.7,10.857370779220778,39681.53055555557,2.8945059163059166,90.96708678571433,39.133990476190476
AL02,2020,764.5719072707454,173.09725603336213,21.3,10.649914826839826,40464.210317460325,2.900462582972583,91.2123641666667,39.0593373015873
AL02,2021,764.5719072707454,172.02130603336212,21.2,10.586914826839827,40814.99365079365,2.952409725829726,93.17161317460317,38.75637539682538
AL03,2017,793.8944072707453,173.12635496193354,25.6,12.056643398268399,40139.4257936508,4.500973773448772,87.6980566666667,37.48634166666666
AL03,2018,764.5719072707454,172.54002912860017,21.6,10.762791017316017,40648.75436507937,2.926879249639249,88.92944694444449,38.0916619047619
AL03,2019,764.5719072707454,173.23832508098118,20.8,10.43365833333333,40534.9007936508,2.926003059163059,90.91250369047624,38.25807380952381
AL03,2020,614.0524079200957,173.31505746193358,19.5,8.720092857142856,39600.543650793654,2.644903253968254,90.990118452381,39.574555952380955
AL03,2021,765.7169882231262,172.37677746193353,19.9,9.220347619047619,41168.734126984134,2.8065779975579983,93.06370452380953,38.925283821733814
AT,2003,340.1434663247466,161.23941548801892,13.2,7.024293362193364,30121.868360805856,1.6148464502164503,83.29729654761903,32.31663809523808
AT,2004,340.36925799141324,161.73333988724372,13.0,7.005643362193364,30157.413598901097,1.6144120454545456,83.58495321428569,32.350271428571425
AT,2005,326.5425755127809,163.64128599835485,12.6,6.896575649350651,31055.56637667888,1.6760610137085135,84.06159845238093,33.06842817460317
AT,2006,317.73066301278095,164.42352290311675,12.6,6.938754220779223,31644.79018620269,1.7731122835497828,84.11243714285712,33.70495317460316
AT,2007,283.8990984294476,162.65411717395008,12.0,6.483131601731603,29320.055662393155,1.615333831168831,83.58343595238094,32.80625595238095
AT,2008,358.59698454055854,164.73046822057714,15.2,8.561837229437227,28402.61148537453,1.538832561327562,81.65109884920635,30.527887229437223
AT,2009,320.9809444611936,165.56990163327552,14.5,8.262499134199132,30324.856364468866,1.728225775613276,83.3250271398046,33.026022619047616
AT,2010,288.3021706516697,165.18398312633104,14.7,8.369227308802305,29323.460096485636,1.798075497835498,83.0699938461538,32.5741607142857
AT,2011,278.7230373183364,164.4054736025215,14.5,8.400982070707068,29694.552953628492,1.8155333549783552,83.47126083028078,32.631201190476176
AT,2012,275.4033185683364,163.84688360252153,14.4,8.298753499278497,30436.97874727929,1.8120574025974023,83.76227916361412,33.28751507936508
AT,2013,281.4800670531849,164.29845717948717,14.4,8.288053499278497,30799.090868491414,1.906369069264069,83.93410916361414,33.75100476190476
AT,2014,283.7466329262008,163.5269455128205,14.1,8.082878896103894,31483.03967801522,1.9960807287157283,84.9702213461538,34.72481724386725
AT,2015,282.5821686404865,163.61629717948716,13.9,7.9315908008657985,32391.211106586652,1.9856978715728713,85.48361476190476,35.42741746031745
AT,2016,282.7002400690579,163.11685384615382,14.1,7.895109848484846,31888.68372563427,1.987307752525252,85.82687777472525,35.52601605339105
AT,2017,281.86204483096265,163.24429479853478,14.4,7.4429987373737365,32219.29483674538,1.9008068398268392,87.76311726190475,35.94171688311687
AT,2018,279.66904483096266,163.30748146520145,14.3,7.014684451659452,32808.081833082375,1.901960054112554,88.65940754329006,36.787254978354966
AT,2019,278.6182114976293,164.6665612271062,13.3,6.068672186147187,34259.45167435221,2.039081634199134,90.11903337662338,37.9124367243867
AT,2020,280.2164829262008,166.3185521794872,13.9,6.676556277056275,35986.76150793651,2.28632591991342,90.94505321789319,38.16130555555556
AT,2021,279.0470162595341,168.10003694139195,14.7,6.857935642135641,38425.53055555555,2.603188160173159,92.66082765873016,37.80840555555555
AT,2022,278.9194448309626,168.84388694139193,14.8,6.652385642135641,40509.83571428572,2.8068425252525255,93.17768337301584,37.377262698412686
AT,2023,278.82011149762934,168.84388694139193,14.9,6.869851118326117,41133.97510822511,2.8821756204906213,93.3786950396825,37.28325555555554
AT1,2021,333.40894339628625,170.6429129926875,17.0,7.527940800865797,37262.78531746032,2.1672346031746033,92.11475742063493,39.07893452380951
AT1,2022,332.5005267296196,170.71083799268752,17.0,7.273107467532464,37736.0630952381,2.178404126984127,92.18273313492064,38.8293976190476
AT1,2023,329.84950236454023,172.3882812466558,17.3,7.345622619047615,38458.81190476191,2.3334443650793646,92.30499777777777,38.38029136141633
AT11,1990,72.6,148.56764568432106,13.895058263620765,6.945762626262625,24811.828174603175,1.6423432359307366,79.50450988095241,25.98214920634921
AT11,1991,73.1,148.98101905733694,13.895058263620765,6.941262626262625,24872.744841269843,1.6423432359307366,79.54617321428576,25.98214920634921
AT11,1992,73.6,150.2770499303528,14.112284454096955,6.941262626262625,24331.309920634925,1.6497507359307366,79.43346845238099,26.33753055555556
AT11,1993,73.9,150.2770499303528,13.965284454096956,6.941262626262625,24825.14484126984,1.6418882359307367,79.75098988095242,26.25192420634921
AT11,1994,74.2,153.2746104065433,14.008532073144577,6.849387626262626,24736.76785714286,1.6309726406926413,79.58584738095242,26.009401190476193
AT11,1995,74.4,153.91289707320996,13.975198739811244,6.849387626262626,24916.127380952385,1.6274726406926414,79.66180988095242,26.16627341269842
AT11,1996,74.4,153.91289707320996,13.975198739811244,6.849387626262626,24916.127380952385,1.6274726406926414,79.66180988095242,26.16627341269842
AT11,1997,74.3,153.2746104065433,14.008532073144577,6.849387626262626,24736.76785714286,1.6309726406926413,79.58584738095242,26.009401190476193
AT11,1998,74.2,153.2746104065433,14.008532073144577,6.849387626262626,24736.76785714286,1.6309726406926413,79.58584738095242,26.009401190476193
AT11,1999,74.1,169.46,17.286094641373953,7.848987698412698,20762.64523809524,1.0934726190476196,75.78736980158729,29.115799134199133
AT11,2000,74.5,171.49,17.534325385629693,9.590947222222221,17700.0,1.0841013095238097,75.1221551190476,28.694673232323236
AT11,2001,74.6,169.83,17.44601824277255,9.41186626984127,18200.0,1.1087091666666669,75.84350527777777,28.69754595959596
AT11,2002,75.1,167.74,17.365639671343978,9.087741269841269,18800.0,1.1419791666666668,76.05510396825395,29.116755086580092
AT11,2003,75.2,177.46,18.14260428173359,9.014596031746033,19000.0,1.0725408333333335,74.95066345238092,29.557752597402605
AT11,2004,75.4,175.47,18.12473285316216,9.027548412698412,19900.0,1.0627396428571432,74.81211178571427,29.773220165945162
AT11,2005,75.7,176.88,17.965547138876445,8.93682380952381,20000.0,1.0670479761904763,74.71864178571427,29.95501222943723
AT11,2006,76.0,171.22,18.068401537908787,8.721205952380954,20900.0,1.0488479761904768,75.63438432539681,29.699581277056282
AT11,2007,76.2,169.5,18.032051900781205,8.60991388888889,22200.0,1.2477611904761907,77.47422718253965,29.5561796897547
AT11,2008,76.8,173.14,18.188006299813548,8.717026984126985,22100.0,1.2279245238095242,77.31001678571425,29.235843975468978
AT11,2009,77.2,176.03,18.05378671106896,8.781669841269842,22400.0,1.2631584523809523,77.14221797619044,28.739944372294374
AT11,2010,77.4,176.48,18.077303377735625,9.265659126984126,23400.0,1.2268564285714283,77.13301845238092,28.648088419913414
AT11,2011,77.7,185.54,18.40267646862942,9.04936865079365,24500.0,1.1418082142857144,77.26835817460316,30.460612085137083
AT11,2012,78.0,166.8,16.039452477120584,8.12778564213564,25400.0,1.3329733333333338,78.98933448412699,25.494053787878798
AT11,2013,78.2,164.88,16.356406331862587,8.523397150072151,25800.0,0.89,79.29,15.8
AT11,2014,78.5,166.22,9.1,5.0,26600.0,1.640076222943722,81.76,25.7
AT11,2015,79.0,168.52,11.7,4.1,27900.0,0.99,81.4727376984127,28.5
AT11,2016,79.4,165.89,12.7,4.4,28500.0,1.3716316883116892,82.54,27.9
AT11,2017,79.7,161.23,13.1,4.9,29500.0,0.85,85.86,28.0
AT11,2018,77.5,165.38,11.8,4.6,30100.0,1.29829893939394,89.85,28.4
AT11,2019,77.8,170.3,12.966600901875898,5.662938095238095,30800.0,0.87,87.71,30.7
AT11,2020,77.8,174.07,13.225092898913953,5.544880555555554,29700.0,1.1887070743145742,87.19,33.1
AT11,2021,78.1,181.97,9.9,5.099262821492233,31800.0,0.84,92.86,31.4
AT11,2022,79.2,188.79,6.5,4.433475396825399,34400.0,1.576550775613276,90.47,31.4
AT11,2023,79.7,179.4365427777778,8.9,4.719422742127154,36500.0,1.686629047619048,93.66,33.2
AT11,2024,401.4873360369789,177.1186141499677,14.223503086419752,6.105569769119767,42370.56547619047,3.032507168109668,93.19,34.7
AT12,1990,77.3,143.91707405182854,14.129060644573146,7.0116292929292925,24986.630555555552,1.6749871139971149,79.25592059523814,25.717430555555556
AT12,1991,78.1,145.03542817881268,14.119810644573146,6.949095959595959,24767.767460317453,1.6611702092352099,79.4608797619048,26.330430555555555
AT12,1992,79.0,144.94724389309837,14.155277311239812,6.845095959595959,24631.62103174603,1.6611702092352099,79.4497322619048,26.834263888888884
AT12,1993,79.7,145.0296645583645,14.286693977906479,6.859962626262625,24538.712698412695,1.669730923520924,79.28507559523813,26.511791666666667
AT12,1994,80.1,144.57071991550737,14.286693977906479,6.859962626262625,24591.31269841269,1.6654416378066381,79.21557809523813,26.59016388888889
AT12,1995,80.3,144.61489102661847,14.258693977906479,6.859962626262625,24572.735317460312,1.6655916378066382,79.21557809523813,26.59016388888889
