nuts2_code,year,employment_rate,rd_expenditure_pct_gdp,unemployment_rate,tertiary_education_pct,youth_unemployment_rate,population_density,long_term_unemployment_share,female_employment_rate
AL01,2012,,,,,,79.2,,
AL01,2013,,,,,,78.5,,
AL01,2014,,,,,,77.7,,
AL01,2015,,,,,,77.0,,
AL01,2016,,,,,,76.6,,
AL01,2017,,,,,,76.1,,
AL01,2018,,,,,,75.5,,
AL01,2019,,,,,,74.8,,
AL01,2020,,,,,,77.0,,
AL01,2021,,,,,,76.3,,
AL01,2022,,,,,,74.0,,
AL02,2012,,,,,,219.6,,
AL02,2013,,,,,,222.3,,
AL02,2014,,,,,,225.1,,
AL02,2015,,,,,,227.0,,
AL02,2016,,,,,,229.2,,
AL02,2017,,,,,,232.4,,
AL02,2018,,,,,,234.8,,
AL02,2019,,,,,,236.2,,
AL02,2020,,,,,,237.8,,
AL02,2021,,,,,,238.6,,
AL02,2022,,,,,,238.8,,
AL03,2012,,,,,,73.3,,
AL03,2013,,,,,,72.4,,
AL03,2014,,,,,,71.6,,
AL03,2015,,,,,,70.7,,
AL03,2016,,,,,,69.9,,
AL03,2017,,,,,,68.9,,
AL03,2018,,,,,,67.9,,
AL03,2019,,,,,,67.1,,
AL03,2020,,,,,,68.8,,
AL03,2021,,,,,,67.9,,
AL03,2022,,,,,,64.9,,
AT11,1990,,,,,,72.6,,
AT11,1991,,,,,,73.1,,
AT11,1992,,,,,,73.6,,
AT11,1993,,,,,,73.9,,
AT11,1994,,,,,,74.2,,
AT11,1995,,,,,,74.4,,
AT11,1996,,,,,,74.4,,
AT11,1997,,,,,,74.3,,
AT11,1998,,,,,,74.2,,
AT11,1999,70.3,,4.9,,,74.1,,60.9
AT11,2000,70.8,,4.9,11.0,,74.5,,62.1
AT11,2001,69.7,,5.0,11.2,,74.6,,62.6
AT11,2002,70.6,0.63,4.9,11.6,,75.1,,62.8
AT11,2003,71.6,,5.75,12.6,,75.2,,63.2
AT11,2004,68.3,0.52,5.3,12.6,,75.4,,62.3
AT11,2005,72.1,,5.6,12.7,,75.7,,64.8
AT11,2006,72.8,0.58,5.2,14.9,,76.0,,65.7
AT11,2007,74.6,0.6,3.9,13.2,,76.2,,67.7
AT11,2008,74.4,,3.9000000000000004,14.1,,76.8,,67.5
AT11,2009,74.1,0.77,5.0,15.1,,77.2,,68.2
AT11,2010,74.8,,3.9,14.8,,77.4,,68.7
AT11,2011,73.7,0.81,3.8,14.8,,77.7,,68.1
AT11,2012,73.8,,4.4,13.9,,78.0,,68.4
AT11,2013,73.5,0.89,4.15,15.8,,78.2,,68.7
AT11,2014,73.2,,4.85,25.7,,78.5,,68.3
AT11,2015,73.1,0.99,5.1,28.5,,79.0,,68.4
AT11,2016,73.1,,5.5,27.9,,79.4,,69.0
AT11,2017,74.7,0.85,5.1,28.0,,79.7,,70.0
AT11,2018,75.2,,4.2,28.4,,77.5,,70.0
AT11,2019,75.4,0.87,3.6,30.7,,77.8,,70.3
AT11,2020,75.4,,4.35,33.1,,77.8,,71.6
AT11,2021,74.9,0.84,5.1,31.4,,78.1,,70.8
AT11,2022,76.5,,4.1,31.4,,79.2,,72.9
AT11,2023,76.6,,5.050000000000001,33.2,,79.7,,73.0
AT12,1990,,,,,,77.3,,
AT12,1991,,,,,,78.1,,
AT12,1992,,,,,,79.0,,
AT12,1993,,,,,,79.7,,
AT12,1994,,,,,,80.1,,
AT12,1995,,,,,,80.3,,
AT12,1996,,,,,,80.5,,
AT12,1997,,,,,,80.6,,
AT12,1998,,,,,,80.8,,
AT12,1999,71.2,,5.166666666666667,,4.4,81.0,1.2,62.4
AT12,2000,71.8,,4.866666666666666,13.0,4.4,81.2,1.05,63.0
AT12,2001,71.5,,4.066666666666666,13.3,5.1,81.5,0.8,63.0
AT12,2002,71.5,0.82,5.833333333333333,13.8,6.8,81.7,0.8,64.0
AT12,2003,73.2,,4.933333333333334,12.6,6.0,82.1,0.8,66.2
AT12,2004,70.5,0.86,5.175,17.3,14.466666666666669,82.6,1.25,64.7
AT12,2005,72.1,,6.566666666666666,17.1,11.033333333333333,83.2,1.8,65.4
AT12,2006,73.2,1.11,4.85,15.1,8.966666666666667,83.7,1.5666666666666667,67.1
AT12,2007,74.8,1.15,5.133333333333334,15.0,9.0,84.1,1.6333333333333335,68.6
AT12,2008,75.9,,5.033333333333333,16.1,9.200000000000001,84.5,1.6666666666666667,70.0
AT12,2009,75.2,1.32,6.366666666666667,17.6,12.5,84.8,1.7333333333333334,70.2
AT12,2010,75.7,,5.066666666666666,17.9,7.766666666666667,85.0,0.8500000000000001,70.8
AT12,2011,75.7,1.46,5.0,17.2,9.866666666666667,85.2,1.8,70.9
AT12,2012,76.1,,6.366666666666667,17.2,9.5,85.5,2.066666666666667,71.4
